History,1,Fix stop calculation error / Fix fee error,,,,,,Fee ratio to 0.06,,,,
,DOGE,41.23%,114,0.237,270,-101.992,,38.94%,113,1.149,190,-78.806
,AVAX,46.28%,121,0.388,470,-98.327,,44.92%,118,1.475,410,-77.925
,LTC,40.41%,146,0.212,310,-138.085,,36.81%,144,1.042,150,-108.083
,ADA,32.22%,149,-0.034,-50,-128.865,,33.78%,148,0.925,20,-99.436
,MATIC,39.84%,123,0.195,240,-92.375,,40.50%,121,1.236,260,-77.574
,TIA,41.67%,12,0.25,30,-3.218,,41.67%,12,1.371,30,-3.218
,INJ,39.02%,41,0.171,70,-25.3,,25.64%,39,0.638,-90,-21.611
,XRP,25.93%,135,-0.222,-300,-134.315,,33.84%,133,0.916,20,-99.4
,LINK,36.45%,107,0.093,100,-85.651,,35.19%,108,0.981,60,-74.652
,ORDI,50.00%,2,0.5,10,-0.556,,50.00%,2,1.914,10,-0.556
,ATOM,29.80%,151,-0.106,-160,-127.518,,31.79%,151,0.844,-70,-102.262
,HOOK,30.19%,53,-0.094,-50,-41.683,,29.41%,51,0.761,-60,-32.456
,BNB,36.03%,161,0.081,130,-151.558,,30.46%,151,0.788,-130,-110.556
,OP,58.07%,31,0.742,230,-23.4,,61.29%,31,2.873,260,-17.814
,BCH,26.21%,145,-0.214,-310,-157.092,,28.89%,135,0.727,-180,-104.814
,ARB,56.25%,16,0.688,110,-16.916,,43.75%,16,1.371,50,-13.238
,NEAR,31.68%,101,-0.05,-50,-73.597,,31.63%,98,0.846,-50,-59.779
,ETC,39.42%,137,0.182,250,-113.133,,40.30%,134,1.226,280,-86.178
,DOT,30.17%,116,-0.095,-110,-107.124,,27.50%,120,0.684,-210,-87.247
,UNI,30.66%,137,-0.08,-110,-117.574,,29.41%,136,0.752,-160,-96.635
,WLD,43.75%,16,0.312,50,-8.891,,43.75%,16,1.445,50,-7.856
,,,,,,,,,,,,
,2  1h,,,,,,,,,,,
,BTC,,,,,,,37.50%,80,1.083,100,-55.155
,ETH,,,,,,,37.68%,69,1.088,90,-49.262
,SOL,,,,,,,38.89%,54,1.189,90,-24.45
,DOGE,,,,,,,41.67%,60,1.341,150,-24.922
,AVAX,,,,,,,55.56%,36,2.298,240,-17.67
,LTC,,,,,,,34.33%,67,0.951,20,-43.069
,ADA,,,,,,,45.31%,64,1.542,230,-30.461
,MATIC,,,,,,,42.86%,49,1.394,140,-23.829
,TIA,,,,,,,50.00%,4,1.905,20,-1.081
,INJ,,,,,,,43.48%,23,1.435,70,-10.453
,XRP,,,,,,,33.33%,63,0.915,0,-37.951
,LINK,,,,,,,40.91%,66,1.268,150,-38.077
,ORDI,,,,,,,66.67%,6,3.926,60,-0.828
,ATOM,,,,,,,32.08%,53,0.869,-20,-30.226
,HOOK,,,,,,,22.73%,22,0.537,-70,-14.552
,BNB,,,,,,,30.77%,65,0.804,-50,-45.056
,OP,,,,,,,52.94%,34,2.095,200,-14.601
,BCH,,,,,,,35.53%,76,1.011,50,-44.136
,ARB,,,,,,,37.50%,8,1.076,10,-5.906
,NEAR,,,,,,,38.71%,62,1.177,100,-29.205
,ETC,,,,,,,31.17%,77,0.839,-50,-40.029
,DOT,,,,,,,41.18%,68,1.281,160,-39.539
,UNI,,,,,,,25.00%,44,0.608,-110,-28.675
,WLD,,,,,,,0.00%,8,0,-80,-4.697
,,,,,,,,,,,,
,3  1h,,,,,,,,,,,
,BTC,25.61%,82,0.024,20,-72.122,,27.50%,80,1.037,80,-56.886
,ETH,27.14%,70,0.086,60,-62.224,,31.88%,69,1.275,190,-50.195
,SOL,29.63%,54,0.185,100,-25.088,,29.63%,54,1.188,100,-25.088
,DOGE,33.33%,60,0.333,200,-28.218,,33.33%,60,1.416,200,-25.563
,AVAX,48.57%,35,0.943,330,-21.116,,41.67%,36,1.99,240,-18.443
,LTC,21.21%,66,-0.152,-100,-48.188,,17.91%,67,0.601,-190,-45.609
,ADA,23.44%,64,-0.062,-40,-35.303,,25.00%,64,0.936,0,-32.522
,MATIC,36.74%,49,0.469,230,-25.288,,36.74%,49,1.631,230,-24.283
,TIA,50.00%,4,1,40,-1.085,,50.00%,4,2.862,40,-1.085
,INJ,30.44%,23,0.217,50,-10.843,,30.44%,23,1.233,50,-10.843
,XRP,21.88%,64,-0.125,-80,-45.827,,20.64%,63,0.719,-110,-39.585
,LINK,29.85%,67,0.194,130,-42.418,,30.30%,66,1.207,140,-38.857
,ORDI,66.67%,6,1.667,100,-0.836,,66.67%,6,5.904,100,-0.836
,ATOM,20.76%,53,-0.17,-90,-38.802,,24.53%,53,0.904,-10,-30.667
,HOOK,22.73%,22,-0.091,-20,-16.12,,18.18%,22,0.614,-60,-14.734
,BNB,23.88%,67,-0.045,-30,-56.309,,23.08%,65,0.821,-50,-46.365
,OP,38.24%,34,0.529,180,-16.573,,35.29%,34,1.537,140,-15.418
,BCH,25.00%,76,0,0,-50.034,,25.00%,76,0.925,0,-45.262
,ARB,37.50%,8,0.5,40,-7.059,,37.50%,8,1.629,40,-5.908
,NEAR,32.26%,62,0.29,180,-33.015,,32.26%,62,1.339,180,-29.971
,ETC,25.64%,78,0.026,20,-46.865,,25.97%,77,0.982,30,-41.05
,DOT,32.35%,68,0.294,200,-46.381,,29.41%,68,1.154,120,-41.02
,UNI,22.22%,45,-0.111,-50,-35.449,,18.18%,44,0.613,-120,-29.451
,WLD,0.00%,8,-1,-80,-4.697,,0.00%,8,0,-80,-4.697
